Name,Original Price,Discount %,Product URL,Image URL
Men Promina Low-Top Training Shoes,3147,37%,https://www.ajio.com/nike-men-promina-low-top-training-shoes/p/469755781_smokeyblue?,https://assets.ajio.com/medias/sys_master/root/20250602/A2vG/683d8d3655340d4b4f7b7eb6/nike_smokey_blue_men_promina_low-top_training_shoes.jpg
Court Vision LO Low-Top Sneakers,5695,N/A,https://www.ajio.com/nike-court-vision-lo-low-top-sneakers/p/469615819_white?,https://assets.ajio.com/medias/sys_master/root/20240508/62KG/663b821f16fd2c6e6af3a5bd/nike_white_court_vision_lo_low-top_sneakers.jpg
Men Low-Top Lace-Up Sneakers,1350,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710447_white?,https://assets.ajio.com/medias/sys_master/root/20241106/QzVb/672b9d5c260f9c41e8c3d5d8/red_tape_white_%26_beige_men_low-top_lace-up_sneakers.jpg
Men Court Vision Lace-Up Sneakers,5695,N/A,https://www.ajio.com/nike-men-court-vision-lace-up-sneakers/p/469551574_white?,https://assets.ajio.com/medias/sys_master/root/20231030/vsJV/653fd0c6ddf77915196353f8/nike_white_men_court_vision_lace-up_sneakers.jpg
327 Panelled Lace-Up Sneakers,6999,30%,https://www.ajio.com/new-balance-327-panelled-lace-up-sneakers/p/460919138_seasalt?,https://assets.ajio.com/medias/sys_master/root/20240704/RFpz/668740851d763220faeb0509/new_balance_grey_327_panelled_lace-up_sneakers.jpg
Mens Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-mens-majesty-sneakers/p/701938667_orange?,https://assets.ajio.com/medias/sys_master/root1/20250718/mTwm/687957b05d4cb413802dc17d/puma_warm_white-orange_poppy_mens_majesty_sneakers.jpg
Revolution 8 Running Shoes,4295,N/A,https://www.ajio.com/nike-revolution-8-running-shoes/p/469763462_green?,https://assets.ajio.com/medias/sys_master/root/20250714/suFl/6874e48de590ff066e50256f/nike_green_revolution_8_running_shoes.jpg
Jordan Flight Court Lace-Up Sneakers,8695,N/A,https://www.ajio.com/nike-jordan-flight-court-lace-up-sneakers/p/469763440_brown?,https://assets.ajio.com/medias/sys_master/root/20250714/1tBc/6874dd51b13fc54edd24e3de/nike_brown_jordan_flight_court_lace-up_sneakers.jpg
Men BMW MMS Inverse M4 Hero Lightweight Shoes,11999,N/A,https://www.ajio.com/puma-men-bmw-mms-inverse-m4-hero-lightweight-shoes/p/701814470_white?,https://assets.ajio.com/medias/sys_master/root/20250625/01ty/685b298f2b1ad9265b672a60/puma_white-black_men_bmw_mms_inverse_m4_hero_lightweight_shoes.jpg
Men Low-Top Lace-Up Sneakers,1710,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710444_white?,https://assets.ajio.com/medias/sys_master/root/20241107/P3OB/672c1646f9b8ef490b07c710/red_tape_white_men_low-top_lace-up_sneakers.jpg
Promina Training Shoes,4995,N/A,https://www.ajio.com/nike-promina-training-shoes/p/469763421_blackgrey?,https://assets.ajio.com/medias/sys_master/root/20250714/ns2Q/6874e1fee590ff066e4ff5fd/nike_grey_promina_training_shoes.jpg
Men Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-men-majesty-sneakers/p/701938667_white?,https://assets.ajio.com/medias/sys_master/root/20250713/R42T/6872fb9ab13fc54edd209e08/puma_white_men_majesty_sneakers.jpg
Women Sneakers Shoes,1134,82%,https://www.ajio.com/red-tape-women-sneakers-shoes/p/700700139_green?,https://assets.ajio.com/medias/sys_master/root/20241104/f1AR/67289344f9b8ef490bfeeb2f/red_tape_green_women_sneakers_shoes.jpg
Rickie Lace-Up Sneakers,5999,N/A,https://www.ajio.com/puma-rickie-lace-up-sneakers/p/469582589_black?,https://assets.ajio.com/medias/sys_master/root/20240109/symx/659d61d674cb305fe00e6399/puma_black_rickie_lace-up_sneakers.jpg
Men Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-men-majesty-sneakers/p/701814342_white?,https://assets.ajio.com/medias/sys_master/root/20250625/RZmb/685b03fe2b1ad9265b669c17/puma_warm_white-pel%C3%A9_yellow_men_majesty_sneakers.jpg
Evoin Low-Top Lace-Up Running Shoes,4059,42%,https://www.ajio.com/new-balance-evoin-low-top-lace-up-running-shoes/p/469753803_blue?,https://assets.ajio.com/medias/sys_master/root1/20250725/HEV8/688371403d468c61ab20d206/new_balance_blue_evoin_low-top_lace-up_running_shoes.jpg
Downshifter 13 Lace-Up Running Shoes,4295,N/A,https://www.ajio.com/nike-downshifter-13-lace-up-running-shoes/p/469759339_white?,https://assets.ajio.com/medias/sys_master/root1/20250716/aATt/687795315d4cb41380174a82/nike_white_downshifter_13_lace-up_running_shoes.jpg
Round-Toe Sneakers with Lace Fastening,1100,75%,https://www.ajio.com/neemans-round-toe-sneakers-with-lace-fastening-/p/467236906_grey?,https://assets.ajio.com/medias/sys_master/root/20240407/gVaM/6612a2ff16fd2c6e6aa295ef/neemans_dk_grey___orang_round-toe_sneakers_with_lace_fastening.jpg
Men Sports Shoes with Synthetic Upper,4499,40%,https://www.ajio.com/asics-men-sports-shoes-with-synthetic-upper-----/p/701601080_black?,https://assets.ajio.com/medias/sys_master/root/20250521/XBCh/682cf06c55340d4b4f48a8ec/asics_black_men_sports_shoes_with_synthetic_upper.jpg
Men Sports Shoes with Lace Fastening,1566,82%,https://www.ajio.com/red-tape-men-sports-shoes-with-lace-fastening-/p/701679643_black?,https://assets.ajio.com/medias/sys_master/root/20250605/SQR1/684179c27a6cd4182f85813f/red_tape_black_men_sports_shoes_with_lace_fastening.jpg
Men Low-Top Lace-Up Sneakers,1073,71%,https://www.ajio.com/neemans-men-low-top-lace-up-sneakers-/p/700304945_green?,https://assets.ajio.com/medias/sys_master/root/20250328/qD3g/67e67c127a6cd4182f8e1c2e/neemans_sage_green_men_low-top_lace-up_sneakers.jpg
Sneakers with PU upper,1278,82%,https://www.ajio.com/red-tape-sneakers-with-pu-upper/p/700765642_white?,https://assets.ajio.com/medias/sys_master/root/20241117/gkIO/673a02ea0f47f80c878f965e/red_tape_white_blue_sneakers_with_pu_upper.jpg
Men Panelled Athleisure Shoes,2484,73%,https://www.ajio.com/red-tape-men-panelled-athleisure-shoes/p/700729814_offwhite?,https://assets.ajio.com/medias/sys_master/root/20241112/zUQ9/673379f1f9b8ef490b17eb40/red_tape_off_white_olive_men_panelled_athleisure_shoes.jpg
Men Knitted Lace-Up Sneakers,1920,52%,https://www.ajio.com/neemans-men-knitted-lace-up-sneakers-/p/700149490_green?,https://assets.ajio.com/medias/sys_master/root/20250221/JQVV/67b8064e2960820c499a687c/neemans_green_men_knitted_lace-up_sneakers.jpg
Men Round-Toe Running Sports Shoes,1596,81%,https://www.ajio.com/red-tape-men-round-toe-running-sports-shoes/p/466829259_blue?,https://assets.ajio.com/medias/sys_master/root/20241014/F51D/670ceabff9b8ef490bb76e4d/red_tape_blue_men_round-toe_running_sports_shoes.jpg
Men Court Shot Lace-Up Tennis Shoes,5995,N/A,https://www.ajio.com/nike-men-court-shot-lace-up-tennis-shoes/p/469759386_white?,https://assets.ajio.com/medias/sys_master/root/20250620/bf5y/6855590455340d4b4fca0fb9/nike_white_men_court_shot_lace-up_tennis_shoes.jpg
Men Colourblock Lace-Up Sneakers,1306,61%,https://www.ajio.com/neemans-men-colourblock-lace-up-sneakers/p/700195171_tan?,https://assets.ajio.com/medias/sys_master/root/20250221/ZXU9/67b80d102960820c499a862b/neemans_tan_men_colourblock_lace-up_sneakers.jpg
Downshift 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshift-13-running-shoes/p/469759336_blackgrey?,https://assets.ajio.com/medias/sys_master/root/20250714/HnbQ/6874e0dee590ff066e4ff0ee/nike_grey_downshift_13_running_shoes.jpg
Full Force Lo Basketball Shoes,4502,47%,https://www.ajio.com/nike-full-force-lo-basketball-shoes/p/469647544_white?,https://assets.ajio.com/medias/sys_master/root/20240722/iJFQ/669e71291d763220fa0f1d87/nike_white_full_force_lo_basketball_shoes.jpg
