Name,Original Price,Discount %,Product URL,Image URL
Women Striped Fitted Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-top/p/443061822_ltpink?,https://assets.ajio.com/medias/sys_master/root/20250616/cMTj/685010f655340d4b4fb5a325/teamspirit_white_women_striped_fitted_top.jpg
Women Embroidery Relaxed Fit Shirt,625,75%,https://www.ajio.com/nyrika-women-embroidery-relaxed-fit-shirt-/p/701623433_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250527/8dP4/6835f25555340d4b4f614758/nyrika_off_white_women_embroidery_relaxed_fit_shirt.jpg
Women Regular Fit Floral Top,382,73%,https://www.ajio.com/leia-women-regular-fit-floral-top/p/701588198_white?,https://assets.ajio.com/medias/sys_master/root/20250519/vsDZ/682b15e27a6cd4182f39bc1d/leia_white_women_regular_fit_floral_top.jpg
Infants All-Over Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-all-over-print-round-neck-t-shirt/p/420503046_white?,https://assets.ajio.com/medias/sys_master/root/20250612/5Ode/684ae59b55340d4b4fa5ee5f/fashion_world_white_%26_yellow_infants_all-over_print_round-neck_t-shirt.jpg
Women Ribbed V-Neck Relaxed Fit Top,407,49%,https://www.ajio.com/fig-women-ribbed-v-neck-relaxed-fit-top/p/443061237_black?,https://assets.ajio.com/medias/sys_master/root/20241230/9qtD/67724c48c148fa1b3068a264/fig_black_women_ribbed_v-neck_relaxed_fit_top.jpg
Women Textured High-Neck Top,413,31%,https://www.ajio.com/max-women-textured-high-neck-top/p/700210905_grey?,https://assets.ajio.com/medias/sys_master/root/20240719/zBUX/669a6d7b6f60443f3192adb6/max_grey_women_textured_high-neck_top.jpg
Unisex Relaxed Fit Full-Sleeve Shirt,899,N/A,https://www.ajio.com/dhirubhai-ambani-int-school-unisex-relaxed-fit-full-sleeve-shirt/p/410479914_white?,https://assets.ajio.com/medias/sys_master/root/20250115/Mf5n/67879fd90431850e0d9e9fd8/dhirubhai_ambani_int._school_white_unisex_relaxed_fit_full-sleeve_shirt.jpg
Women Floral Regular Fit Top,290,71%,https://www.ajio.com/nantan-women-floral-regular-fit-top/p/701321642_pink?,https://assets.ajio.com/medias/sys_master/root/20250310/Le6y/67cef0462960820c49dfbcd6/nantan_pink_women_floral_regular_fit_top.jpg
Girls Crochet Round-Neck Top with Tie-Up,235,41%,https://www.ajio.com/max-girls-crochet-round-neck-top-with-tie-up/p/467033494_cream?,https://assets.ajio.com/medias/sys_master/root/20240202/Dj1Q/65bc448d16fd2c6e6ad2884c/max_cream_girls_crochet_round-neck_top_with_tie-up.jpg
Women Relaxed Fit Top with Balloon Sleeves,407,49%,https://www.ajio.com/fig-women-relaxed-fit-top-with-balloon-sleeves/p/443066084_pink?,https://assets.ajio.com/medias/sys_master/root/20250212/IMtw/67ac9b21bc78b543a93cf76e/fig_peach_women_relaxed_fit_top_with_balloon_sleeves.jpg
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503030_white?,https://assets.ajio.com/medias/sys_master/root/20250612/XMOV/684ae5197a6cd4182fa3cea3/fashion_world_white_infants_graphic_print_round-neck_t-shirt.jpg
Floral Print Top with Tie-Up,314,10%,https://www.ajio.com/max-floral-print-top-with-tie-up/p/700359108_cream?,https://assets.ajio.com/medias/sys_master/root/20240903/vVfj/66d68ebb6f60443f314c3256/max_cream_floral_print_top_with_tie-up.jpg
