Name,Original Price,Discount %,Product URL,Image URL
Men Analogue Watch,10797,40%,https://www.ajio.com/guess-men-analogue-watch/p/700770731_black?,https://assets.ajio.com/medias/sys_master/root/20241118/4tw8/673b02dbc148fa1b30d2fdc8/guess_gold_men_analogue_watch.jpg
D099 Youth Men (AE-1200WHD-1AVDF) Digital Wrist Watch,3395,N/A,https://www.ajio.com/casio-d099-youth-men-ae-1200whd-1avdf-digital-wrist-watch/p/4910101050_multi?,https://assets.ajio.com/medias/sys_master/root/20220528/lv1d/62919238aeb26921afefc775/casio_silver_d099_youth_men_%28ae-1200whd-1avdf%29_digital_wrist_watch.jpg
Unisex Youth Water-Resistant Digital Watch-F-91WB-7ADF,1695,N/A,https://www.ajio.com/casio-unisex-youth-water-resistant-digital-watch-f-91wb-7adf/p/469691497_white?,https://assets.ajio.com/medias/sys_master/root/20241129/Dojz/674960a20f47f80c87b71012/casio_white_unisex_youth_water-resistant_digital_watch-f-91wb-7adf.jpg
Men Analogue Wrist Watch with Tang Buckle Closure-DHM1001,2699,50%,https://www.ajio.com/daniel-hechter-men-analogue-wrist-watch-with-tang-buckle-closure-dhm1001/p/701417443_black?,https://assets.ajio.com/medias/sys_master/root/20250514/CWrq/6824643e7a6cd4182f2ede2c/daniel_hechter_black_men_analogue_wrist_watch_with_tang_buckle_closure-dhm1001.jpg
Men DB38 Vintage DBC-32-1ADF Black Digital Dial Black Resin Strap,2195,N/A,https://www.ajio.com/casio-men-db38-vintage-dbc-32-1adf-black-digital-dial-black-resin-strap/p/469079070_black?,https://assets.ajio.com/medias/sys_master/root/20220124/TbDH/61eec16cf997dd662337d236/casio_black_men_db38_vintage_dbc-32-1adf_black_digital_dial_black_resin_strap.jpg
Women Analogue Watch,3200,20%,https://www.ajio.com/kenneth-scott-women-analogue-watch/p/701616788_rosegold?,https://assets.ajio.com/medias/sys_master/root/20250527/YIbG/68359a9e55340d4b4f5a7f4f/kenneth_scott_red_women_analogue_watch.jpg
Men Water-Resistant Digital Watch-AE-1600H-1AVDF,3195,N/A,https://www.ajio.com/casio-men-water-resistant-digital-watch-ae-1600h-1avdf/p/469750605_black?,https://assets.ajio.com/medias/sys_master/root/20250311/u8Zq/67d03aa859f83539802f8cff/casio_black_men_water-resistant_digital_watch-ae-1600h-1avdf.jpg
Men D200 Vintage B650WC-5ADF Rose Gold Digital Dial Rose Gold Stainless Steel Band,4495,N/A,https://www.ajio.com/casio-men-d200-vintage-b650wc-5adf-rose-gold-digital-dial-rose-gold-stainless-steel-band/p/469006073_rosegold?,https://assets.ajio.com/medias/sys_master/root/20210913/OFzM/613f773df997ddce89c3eb39/casio_rose_gold_men_d200_vintage_b650wc-5adf_rose_gold_digital_dial_rose_gold_stainless_steel_band.jpg
T23105-XSRB Men Analogue Watch,17664,20%,https://www.ajio.com/tornado-t23105-xsrb-men-analogue-watch-/p/700193500_red?,https://assets.ajio.com/medias/sys_master/root/20250606/4GAA/684271d955340d4b4f8aa0e1/tornado_red_t23105-xsrb_men_analogue_watch.jpg
Men D131 Vintage A168WA-1WDF Black Digital Dial Silver Stainless Steel Band,2156,20%,https://www.ajio.com/casio-men-d131-vintage-a168wa-1wdf-black-digital-dial-silver-stainless-steel-band/p/460813021_black?,https://assets.ajio.com/medias/sys_master/root/20210128/n2lh/6011b819aeb269698157e5b9/casio_silver-toned_men_d131_vintage_a168wa-1wdf_black_digital_dial_silver_stainless_steel_band.jpg
Men Analogue Watch with Tang Buckle,2699,50%,https://www.ajio.com/daniel-hechter-men-analogue-watch-with-tang-buckle/p/701402049_green?,https://assets.ajio.com/medias/sys_master/root/20250514/3E12/682467fc7a6cd4182f2ef620/daniel_hechter_green_men_analogue_watch_with_tang_buckle.jpg
Women Analogue Watch,2960,20%,https://www.ajio.com/kenneth-scott-women-analogue-watch/p/701616501_silver?,https://assets.ajio.com/medias/sys_master/root/20250526/Mpsu/6834583a55340d4b4f53c62a/kenneth_scott_silver_women_analogue_watch.jpg
Women Round Dial Watch,300,70%,https://www.ajio.com/trex-women-round-dial-watch/p/701466409_rosegold?,https://assets.ajio.com/medias/sys_master/root/20250416/PmLN/67ff876c55340d4b4fde74c5/trex_rose_gold_women_round_dial_watch.jpg
Men Multifunction Analogue Watch - BQ2492,11197,30%,https://www.ajio.com/fossil-men-multifunction-analogue-watch--bq2492/p/469353353_silver?,https://assets.ajio.com/medias/sys_master/root/20230125/eEK8/63d14479f997dd708e226956/fossil_silver-toned_men_multifunction_analogue_watch_-_bq2492.jpg
Men Water-Resistant Chronograph Watch-T23105-SSBB,16896,20%,https://www.ajio.com/tornado-men-water-resistant-chronograph-watch-t23105-ssbb/p/700230917_black?,https://assets.ajio.com/medias/sys_master/root/20250606/OmhY/68427a8555340d4b4f8ad2b8/tornado_black_men_water-resistant_chronograph_watch-t23105-ssbb.jpg
Men D124 Vintage LA670WGA-1DF Black Digital Dial Gold Stainless Steel Band,3995,N/A,https://www.ajio.com/casio-men-d124-vintage-la670wga-1df-black-digital-dial-gold-stainless-steel-band/p/469005993_gold?,https://assets.ajio.com/medias/sys_master/root/20220118/waAA/61e6e29df997dd6623285fb3/casio_gold-toned_men_d124_vintage_la670wga-1df_black_digital_dial_gold_stainless_steel_band.jpg
FCB6RGM Women Analogue Watch,2980,60%,https://www.ajio.com/french-connection-fcb6rgm-women-analogue-watch/p/701037029_rosegold?,https://assets.ajio.com/medias/sys_master/root/20250110/ee35/67810870663dbe1c5fcc3cc1/french_connection_gold_fcb6rgm_women_analogue_watch.jpg
K24014-SSBB Analogue Watch with Silicone Strap,1656,40%,https://www.ajio.com/kenneth-scott-k24014-ssbb-analogue-watch-with-silicone-strap/p/700225966_black?,https://assets.ajio.com/medias/sys_master/root/20250606/zkaq/6842809f7a6cd4182f885b89/kenneth_scott_black_k24014-ssbb_analogue_watch_with_silicone_strap.jpg
Women Rectangle Watch,300,70%,https://www.ajio.com/trex-women-rectangle-watch/p/701575375_brown?,https://assets.ajio.com/medias/sys_master/root/20250514/Crlw/6823b52c7a6cd4182f2e5505/trex_brown_women_rectangle_watch.jpg
Men Analogue Watch with Tang Buckle,2699,50%,https://www.ajio.com/daniel-hechter-men-analogue-watch-with-tang-buckle/p/701402044_blue?,https://assets.ajio.com/medias/sys_master/root/20250514/bGkE/682464b855340d4b4f33a4fd/daniel_hechter_blue_men_analogue_watch_with_tang_buckle.jpg
T23105-XSHH Men Analogue Watch,17664,20%,https://www.ajio.com/tornado-t23105-xshh-men-analogue-watch/p/700218368_green?,https://assets.ajio.com/medias/sys_master/root/20250606/cdv9/684272c455340d4b4f8aa74f/tornado_green_t23105-xshh_men_analogue_watch.jpg
Men Water-Resistant Digital Watch-AE-1600H-8BVDF,3195,N/A,https://www.ajio.com/casio-men-water-resistant-digital-watch-ae-1600h-8bvdf/p/469750604_grey?,https://assets.ajio.com/medias/sys_master/root/20250311/RjGW/67d03f9a59f83539802fb25e/casio_grey_men_water-resistant_digital_watch-ae-1600h-8bvdf.jpg
Men Analogue Watch,38320,20%,https://www.ajio.com/swiss-military-hanowa-men-analogue-watch--/p/701137459_brown?,https://assets.ajio.com/medias/sys_master/root/20250312/4fnC/67d1731c59f83539803245bd/swiss_military_hanowa_green_men_analogue_watch.jpg
Women Analogue Watch,2960,20%,https://www.ajio.com/kenneth-scott-women-analogue-watch/p/701616512_silver?,https://assets.ajio.com/medias/sys_master/root/20250526/VdUl/683463e555340d4b4f55260c/kenneth_scott_white_women_analogue_watch.jpg
Men Water-Resistant Digital Watch-ABL-100WE-1ADF,5495,N/A,https://www.ajio.com/casio-men-water-resistant-digital-watch-abl-100we-1adf/p/469691502_black?,https://assets.ajio.com/medias/sys_master/root/20241129/45t3/6749627cc148fa1b30f6f60f/casio_grey_men_water-resistant_digital_watch-abl-100we-1adf.jpg
T2P495 Analogue Watch with Pin-Tuck Clasp,4062,42%,https://www.ajio.com/timex-t2p495-analogue-watch-with-pin-tuck-clasp/p/700154959_brown?,https://assets.ajio.com/medias/sys_master/root/20240702/RWYI/668406161d763220faa6fcc7/timex_cream_t2p495_analogue_watch_with_pin-tuck_clasp.jpg
Women Water-Resistant Analogue Watch-T23105-XSBB,17664,20%,https://www.ajio.com/tornado-women-water-resistant-analogue-watch-t23105-xsbb/p/700230887_black?,https://assets.ajio.com/medias/sys_master/root/20250606/iIfW/684274ae55340d4b4f8ab152/tornado_black_women_water-resistant_analogue_watch-t23105-xsbb.jpg
Men D259 Vintage A168WEMB-1BDF Black Digital Dial Silver Stainless Steel Band,5295,N/A,https://www.ajio.com/casio-men-d259-vintage-a168wemb-1bdf-black-digital-dial-silver-stainless-steel-band/p/469205145_black?,https://assets.ajio.com/medias/sys_master/root/20220601/x3Qe/62967a66aeb26921affea38a/casio_black_men_d259_vintage_a168wemb-1bdf_black_digital_dial_silver_stainless_steel_band.jpg
Men Analogue Wrist Watch - Y08014G2MM,34447,35%,https://www.ajio.com/gc-men-analogue-wrist-watch--y08014g2mm/p/701602409_silver?,https://assets.ajio.com/medias/sys_master/root/20250522/BFe9/682e68c755340d4b4f4b7eea/gc_black_men_analogue_wrist_watch_-_y08014g2mm.jpg
K23030-SLBW Analogue Watch with Leather Strap,1346,35%,https://www.ajio.com/kenneth-scott-k23030-slbw-analogue-watch-with-leather-strap/p/700226020_black?,https://assets.ajio.com/medias/sys_master/root/20250606/IF9i/684272977a6cd4182f88078a/kenneth_scott_black_k23030-slbw_analogue_watch_with_leather_strap.jpg
Men Analogue Watch,506,77%,https://www.ajio.com/crestello--men-analogue-watch/p/700989118_brown?,https://assets.ajio.com/medias/sys_master/root/20241227/eO5b/676ec729c148fa1b30654f39/crestello_brown__men__analogue_watch.jpg
Unisex Youth Water-Resistant Digital Watch-F-91WB-1ADF,1695,N/A,https://www.ajio.com/casio-unisex-youth-water-resistant-digital-watch-f-91wb-1adf/p/469691495_black?,https://assets.ajio.com/medias/sys_master/root/20241129/bM2M/674960afc148fa1b30f6d34b/casio_black_unisex_youth_water-resistant_digital_watch-f-91wb-1adf.jpg
Men Water-Resistant Chronograph Watch-T6102-SLBW,12096,20%,https://www.ajio.com/tornado-men-water-resistant-chronograph-watch-t6102-slbw/p/700230921_black?,https://assets.ajio.com/medias/sys_master/root/20250606/f3tG/684275207a6cd4182f881c6f/tornado_black_men_water-resistant_chronograph_watch-t6102-slbw.jpg
Men EcoDrive 41 mm Size Multicolor Dial Watch - BM763080X,22950,10%,https://www.ajio.com/citizen-men-ecodrive-41-mm-size-multicolor-dial-watch--bm763080x/p/700250331_silver?,https://assets.ajio.com/medias/sys_master/root/20250404/hgUe/67efe92255340d4b4fb1f9f2/citizen_multi_men_ecodrive_41_mm_size_multicolor_dial_watch_-_bm763080x.jpg
Unisex Youth Water-Resistant Digital Watch-F-91WB-2A1DF,1695,N/A,https://www.ajio.com/casio-unisex-youth-water-resistant-digital-watch-f-91wb-2a1df/p/469691496_blue?,https://assets.ajio.com/medias/sys_master/root/20241129/djcf/674961210f47f80c87b712d0/casio_blue_unisex_youth_water-resistant_digital_watch-f-91wb-2a1df.jpg
K22009-BSBN Analogue Watch with Silicone Strap,2093,35%,https://www.ajio.com/kenneth-scott-k22009-bsbn-analogue-watch-with-silicone-strap/p/700226016_black?,https://assets.ajio.com/medias/sys_master/root/20250606/14Nj/68427a1255340d4b4f8ad006/kenneth_scott_black_k22009-bsbn_analogue_watch_with_silicone_strap.jpg
Men Automatic 40 mm Size White Dial Analogue Watch - NH913017A,33210,10%,https://www.ajio.com/citizen-men-automatic-40-mm-size-white-dial-analogue-watch--nh913017a/p/700334602_brown?,
Men D011 Vintage A158WA-1DF Black Digital Dial Silver Stainless Steel Band,1895,N/A,https://www.ajio.com/casio-men-d011-vintage-a158wa-1df-black-digital-dial-silver-stainless-steel-band/p/460812866_black?,
GZ-50101 Analogue Watch with Deployand Clasp,3924,58%,https://www.ajio.com/giordano-gz-50101-analogue-watch-with-deployand-clasp/p/466785463_grey?,
Men D089 Vintage LA670WA-1DF Black Digital Dial Silver Stainless Steel Band,2995,N/A,https://www.ajio.com/casio-men-d089-vintage-la670wa-1df-black-digital-dial-silver-stainless-steel-band/p/469620647_black?,
Men Legacy-9944-Silver-Black Analogue Watch with Push-Button Clasp,1500,70%,https://www.ajio.com/carlington-men-legacy-9944-silver-black-analogue-watch-with-push-button-clasp/p/701361319_green?,
Men A2228 Enticer Analogue Wrist Watch- MTP-1375D-2A1VDF,4197,30%,https://www.ajio.com/casio-men-a2228-enticer-analogue-wrist-watch-mtp-1375d-2a1vdf/p/4934023640_multi?,
Men D187 Vintage B640WCG-5DF Rose Gold Digital Dial Rose Gold Stainless Steel Band,5995,N/A,https://www.ajio.com/casio-men-d187-vintage-b640wcg-5df-rose-gold-digital-dial-rose-gold-stainless-steel-band/p/460901355_rosegold?,
Men Automatic 40 mm Size Green Dial Automatic TSUYOSA Collection Watch - NJ015081X,35010,10%,https://www.ajio.com/citizen-men-automatic-40-mm-size-green-dial-automatic-tsuyosa-collection-watch--nj015081x/p/700250336_silver?,
Men Water-Resistant Chronograph Watch-AX4165,11495,N/A,https://www.ajio.com/armani-exchange-men-water-resistant-chronograph-watch-ax4165/p/4934126820_multi?,
