Name,Original Price,Discount %,Product URL,Image URL
Women Striped Fitted Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-top/p/443061822_ltpink?,https://assets.ajio.com/medias/sys_master/root/20250616/cMTj/685010f655340d4b4fb5a325/teamspirit_white_women_striped_fitted_top.jpg
Women Regular Fit Floral Top,382,73%,https://www.ajio.com/leia-women-regular-fit-floral-top/p/701588198_white?,https://assets.ajio.com/medias/sys_master/root/20250519/vsDZ/682b15e27a6cd4182f39bc1d/leia_white_women_regular_fit_floral_top.jpg
Women Ribbed V-Neck Relaxed Fit Top,407,49%,https://www.ajio.com/fig-women-ribbed-v-neck-relaxed-fit-top/p/443061237_black?,https://assets.ajio.com/medias/sys_master/root/20241230/9qtD/67724c48c148fa1b3068a264/fig_black_women_ribbed_v-neck_relaxed_fit_top.jpg
Women Relaxed Fit Top with Balloon Sleeves,407,49%,https://www.ajio.com/fig-women-relaxed-fit-top-with-balloon-sleeves/p/443066084_pink?,https://assets.ajio.com/medias/sys_master/root/20250212/IMtw/67ac9b21bc78b543a93cf76e/fig_peach_women_relaxed_fit_top_with_balloon_sleeves.jpg
Women Printed Relaxed Fit Shirt,407,49%,https://www.ajio.com/fig-women-printed-relaxed-fit-shirt/p/443063040_blue?,https://assets.ajio.com/medias/sys_master/root/20250214/2fmO/67af29892960820c49837c5e/fig_blue_women_printed_relaxed_fit_shirt.jpg
Printed Top with Camisole,1450,50%,https://www.ajio.com/aarke-ritu-kumar-printed-top-with-camisole/p/410445504_green?,https://assets.ajio.com/medias/sys_master/root/20240504/2z4S/66364fd205ac7d77bb3f34f9/aarke_ritu_kumar_green_printed_top_with_camisole.jpg
Women Embroidery Top,290,71%,https://www.ajio.com/birampuria-designer-studio-women-embroidery-top/p/701171330_white?,https://assets.ajio.com/medias/sys_master/root/20250206/1RJv/67a4a57e2960820c496678b8/birampuria_designer_studio_white_women_embroidery_top.jpg
Women Striped Fitted Crop Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-crop-top/p/443061175_ltblue?,https://assets.ajio.com/medias/sys_master/root/20250516/OmwT/68273fbd55340d4b4f3a618d/teamspirit_blue_women_striped_fitted_crop_top.jpg
Floral Print Fitted Top with Camisole,1350,70%,https://www.ajio.com/label-ritu-kumar-floral-print-fitted-top-with-camisole/p/410333521_black?,https://assets.ajio.com/medias/sys_master/root/20220916/rURW/63246208aeb269dbb390a085/label_ritu_kumar_black_floral_print_fitted_top_with_camisole.jpg
Women Slim Fit Boat-Neck Top,320,60%,https://www.ajio.com/buda-jeans-co-women-slim-fit-boat-neck-top/p/469734217_black?,https://assets.ajio.com/medias/sys_master/root1/20250721/HqaZ/687e42b35d4cb4138043e1b5/buda_jeans_co_black_women_slim_fit_boat-neck_top.jpg
Printed Rayon Tunic,549,21%,https://www.ajio.com/max-printed-rayon-tunic/p/465756745_green?,https://assets.ajio.com/medias/sys_master/root/20230628/61UY/649b8e4eeebac147fc1898e5/max_green_printed_rayon_tunic.jpg
Women Floral Print Regular Fit Top,290,71%,https://www.ajio.com/nantan-women-floral-print-regular-fit-top/p/701095522_turquoise?,https://assets.ajio.com/medias/sys_master/root/20250123/CZCm/67925c48663dbe1c5ff8a2d9/nantan_turquoise_women_floral_print_regular_fit_top.jpg
Women Fitted Blouse Top,200,80%,https://www.ajio.com/maheshvi-women-fitted-blouse-top/p/701089024_black?,https://assets.ajio.com/medias/sys_master/root/20250125/LdRZ/6794e858663dbe1c5f0009eb/maheshvi_black_women_fitted_blouse_top.jpg
Women Ribbed Fitted Top,210,79%,https://www.ajio.com/maheshvi-women-ribbed-fitted-top/p/701767574_green?,https://assets.ajio.com/medias/sys_master/root/20250621/sAZK/685690d02b1ad9265b55dc9a/maheshvi_green_women_ribbed_fitted_top.jpg
Stripes Stylised Fit Top,413,31%,https://www.ajio.com/max-stripes-stylised-fit-top/p/701264820_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250226/I0Gd/67be151c59f8353980f6bd0b/max_ivory_stripes_stylised_fit_top.jpg
Women Regular Fit Floral Print Top,444,73%,https://www.ajio.com/leia-women-regular-fit-floral-print-top/p/701600865_white?,https://assets.ajio.com/medias/sys_master/root/20250520/tk8d/682cbfba55340d4b4f465d3d/leia_off_white_women_regular_fit_floral_print_top.jpg
Women Printed Regular Fit Top,195,85%,https://www.ajio.com/leia-women-printed-regular-fit-top/p/701733041_red?,https://assets.ajio.com/medias/sys_master/root/20250613/XTf9/684b593a55340d4b4fa6e956/leia_red_women_printed_regular_fit_top.jpg
Women Slim Fit Square Neck Top,799,N/A,https://www.ajio.com/h-m-women-slim-fit-square-neck-top/p/701503823_beige?,https://assets.ajio.com/medias/sys_master/root/20250428/tEN4/680eb54e55340d4b4ffde433/h%26m_beige_women_slim_fit_square_neck_top.jpg
Women Floral Print Regular Fit Top,754,65%,https://www.ajio.com/quiero-women-floral-print-regular-fit-top/p/701383282_brown?,https://assets.ajio.com/medias/sys_master/root/20250327/AuOV/67e562507a6cd4182f8797fd/quiero_brown_women_floral_print_regular_fit_top.jpg
Women Regular Fit Square-Neck Top,210,79%,https://www.ajio.com/maheshvi-women-regular-fit-square-neck-top/p/701767574_coffee?,https://assets.ajio.com/medias/sys_master/root/20250618/6xV9/6852c70455340d4b4fbf6ea2/maheshvi_coffee_women_regular_fit_square-neck_top.jpg
Striped Jacquard Short Top with Inner,2950,50%,https://www.ajio.com/ritu-kumar-striped-jacquard-short-top-with-inner/p/410445732_white?,https://assets.ajio.com/medias/sys_master/root/20240504/wVCo/663658d605ac7d77bb3f5d42/ritu_kumar_white_striped_jacquard_short_top_with_inner.jpg
Women Geometric Print Top,580,71%,https://www.ajio.com/fery-london-women-geometric-print-top/p/700955943_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250305/AqgA/67c755fc2960820c49ce6623/fery_london_off_white_women_geometric_print_top.jpg
Women Printed Regular Fit Top,300,70%,https://www.ajio.com/bollyclues-women-printed-regular-fit-top/p/701499194_green?,https://assets.ajio.com/medias/sys_master/root1/20250728/4JVR/688724083d468c61ab25cc01/bollyclues_green_women_printed_regular_fit_top.jpg
Women Keyhole Round-Neck Relaxed Fit Top,719,10%,https://www.ajio.com/max-women-keyhole-round-neck-relaxed-fit-top/p/700556734_black?,https://assets.ajio.com/medias/sys_master/root/20241008/3RcR/67056136260f9c41e863068a/max_black_women_keyhole_round-neck_relaxed_fit_top.jpg
Women Regular Fit Textured Top,219,73%,https://www.ajio.com/leia-women-regular-fit-textured-top/p/701489560_purple?,https://assets.ajio.com/medias/sys_master/root/20250423/JDBb/680871587a6cd4182fec90a3/leia_purple_women_regular_fit_textured_top.jpg
Cotton Regular Fit Floral Tunic,599,73%,https://www.ajio.com/janasya-cotton-regular-fit-floral-tunic/p/701301826_orange?,https://assets.ajio.com/medias/sys_master/root/20250304/o60k/67c72db559f83539801a2038/janasya_orange_cotton_regular_fit_floral_tunic.jpg
Women Slim Fit Round-Neck Tank Top,339,N/A,https://www.ajio.com/technosport-women-slim-fit-round-neck-tank-top/p/701946411_purple?,https://assets.ajio.com/medias/sys_master/root/20250714/gTbO/6875190db13fc54edd277ebb/technosport_heather_women_slim_fit_round-neck_tank_top.jpg
Women Embroidered Relaxed Fit Peplum Top,458,49%,https://www.ajio.com/dnmx-women-embroidered-relaxed-fit-peplum-top/p/443060791_pink?,https://assets.ajio.com/medias/sys_master/root/20241113/YBZD/673471e1260f9c41e8dd7bed/dnmx_pink_women_embroidered_relaxed_fit_peplum_top.jpg
Women Embroidered Regular Fit V-Neck Top,525,65%,https://www.ajio.com/diktmark-women-embroidered-regular-fit-v-neck-top/p/700181736_offwhite?,https://assets.ajio.com/medias/sys_master/root/20240710/DrNv/668eb5bb6f60443f31d7a3d4/diktmark_off_white_women_embroidered_regular_fit_v-neck_top.jpg
Women Floral Regular Fit Top,290,71%,https://www.ajio.com/nantan-women-floral-regular-fit-top/p/701321673_green?,https://assets.ajio.com/medias/sys_master/root/20250310/EwoE/67ceed1c59f83539802ba971/nantan_green_women_floral_regular_fit_top.jpg
Women Regular Fit Top,305,49%,https://www.ajio.com/dnmx-women-regular-fit-top/p/443064751_white?,https://assets.ajio.com/medias/sys_master/root/20250214/Ep55/67af39772960820c4983ca64/dnmx_white_women_regular_fit_top.jpg
Women Floral Print Relaxed Fit Top,220,80%,https://www.ajio.com/ives-women-floral-print-relaxed-fit-top/p/466953466_blue?,https://assets.ajio.com/medias/sys_master/root/20240106/gToo/6598ac2254c30e627698d3cc/ives_blue_women_floral_print_relaxed_fit_top.jpg
